Age,Gender,Marital Status,Occupation,Vehicle Age,Vehicle,Property Value,Zip Code,Claim History,Coverage Type,Premium
56,Male,Widowed,Engineer,17,Ford F-150,645707,BD1 3EB,No,Liability-only,1294
46,Male,Divorced,Sales Associate,8,Ford F-150,305223,E1 6AN,No,Collision,7097
32,Male,Divorced,Engineer,11,Hyundai Elantra,674324,SW1A 1AA,Yes,Comprehensive,7412
60,Male,Widowed,Student,6,Toyota Camry,506092,E1 6AN,Yes,Collision,9836
25,Female,Single,Nurse,8,Audi Q5,641513,CV1 2WT,Yes,Collision,7678
38,Female,Widowed,Nurse,10,Toyota Corolla,230738,M1 1AA,No,Liability-only,6020
56,Male,Widowed,Student,3,BMW X5,485740,E1 6AN,No,Liability-only,6743
36,Male,Divorced,Driver,14,Audi Q5,280613,PE1 1HA,No,Collision,1110
40,Male,Widowed,Student,14,Ford F-150,223601,CW1 2BB,Yes,Liability-only,9775
28,Male,Divorced,Sales Associate,10,Buick Encore,179873,M1 1AA,Yes,Collision,5864
28,Male,Divorced,Teacher,12,Audi Q5,221468,AL1 3NJ,Yes,Collision,2648
41,Female,Married,Nurse,6,Audi Q5,158328,CV1 2WT,Yes,Comprehensive,7381
53,Female,Widowed,Small Business Owner,12,Audi Q5,287405,SW1A 1AA,Yes,Collision,3381
57,Female,Single,Sales Associate,14,Audi Q5,271173,SE1 8DP,Yes,Collision,1105
41,Female,Married,Sales Associate,2,Audi Q5,196638,CV1 2WT,No,Liability-only,6818
20,Male,Divorced,Sales Associate,9,Ford F-150,351675,MK9 1AN,No,Comprehensive,1381
39,Male,Divorced,IT Professional,10,Toyota Camry,263920,CW1 2BB,No,Liability-only,5356
19,Male,Single,Sales Associate,17,Nissan Altima,560261,M1 1AA,Yes,Comprehensive,6918
41,Male,Divorced,Nurse,17,Audi Q5,585986,SE1 8DP,No,Liability-only,2316
61,Male,Widowed,Teacher,3,Audi Q5,157887,OL4 1ES,No,Collision,6454
47,Female,Married,Teacher,19,Honda Accord,174918,BS2 8JD,No,Comprehensive,5074
55,Male,Divorced,Sales Associate,1,Toyota Camry,505706,CV1 2WT,Yes,Comprehensive,5804
19,Female,Divorced,Engineer,12,Nissan Altima,424073,SE1 8DP,Yes,Comprehensive,1906
38,Female,Single,Nurse,7,BMW X5,656508,BD1 3EB,No,Comprehensive,8621
50,Female,Widowed,Nurse,4,BMW X5,670337,TQ2 5HB,Yes,Liability-only,1662
29,Female,Divorced,Retired,10,Buick Encore,528710,MK9 1AN,Yes,Liability-only,7718
39,Male,Single,Lawyer,13,Tesla Model S,440690,TQ2 5HB,Yes,Comprehensive,9654
61,Female,Divorced,Driver,2,Toyota Corolla,359496,SE1 8DP,Yes,Comprehensive,1942
42,Female,Single,Driver,10,Honda Accord,577499,MK9 1AN,No,Comprehensive,9349
44,Female,Single,Engineer,4,Toyota Camry,621386,BS2 8JD,Yes,Liability-only,7415
59,Male,Widowed,Driver,18,Toyota Camry,458710,MK9 1AN,No,Comprehensive,4309
45,Male,Divorced,Retired,5,Tesla Model S,497608,CW1 2BB,No,Comprehensive,2326
33,Male,Widowed,Student,19,Buick Encore,278279,M1 1AA,Yes,Comprehensive,3106
32,Female,Single,Driver,2,Hyundai Elantra,231991,OL4 1ES,Yes,Liability-only,5799
64,Female,Married,Nurse,12,Ford F-150,504824,MK9 1AN,Yes,Collision,9839
61,Male,Divorced,Student,17,Buick Encore,440157,BD1 3EB,No,Collision,3938
20,Female,Married,Driver,10,Nissan Altima,202132,SE1 8DP,No,Liability-only,3483
54,Male,Divorced,Nurse,2,Buick Encore,405069,PE1 1HA,No,Collision,2375
24,Male,Widowed,Nurse,6,Tesla Model S,635714,E1 6AN,No,Comprehensive,8856
38,Female,Widowed,Sales Associate,8,Tesla Model S,241627,CW1 2BB,No,Comprehensive,1244
26,Female,Widowed,Teacher,19,Toyota Corolla,272772,CV1 2WT,No,Liability-only,3348
56,Female,Widowed,Engineer,11,Honda Accord,379415,MK9 1AN,No,Liability-only,1479
35,Female,Widowed,Retired,12,Audi Q5,663277,MK9 1AN,Yes,Collision,2935
21,Male,Married,IT Professional,9,BMW X5,409013,CV1 2WT,No,Collision,6757
42,Male,Widowed,Lawyer,2,Tesla Model S,567165,BS2 8JD,No,Comprehensive,1087
31,Male,Single,Driver,8,Toyota Corolla,166116,CW1 2BB,No,Liability-only,9764
26,Male,Single,Driver,11,Ford F-150,383982,MK9 1AN,No,Collision,1178
43,Male,Married,Student,4,BMW X5,355383,BD1 3EB,Yes,Collision,1162
19,Female,Divorced,Student,10,Hyundai Elantra,441799,AL1 3NJ,No,Comprehensive,3640
37,Male,Single,Lawyer,16,Toyota Camry,338874,OL4 1ES,No,Comprehensive,3348
45,Male,Divorced,Driver,8,Ford F-150,361284,SW1A 1AA,Yes,Comprehensive,3421
64,Male,Married,Small Business Owner,4,Hyundai Elantra,586441,BD1 3EB,Yes,Comprehensive,5298
24,Female,Divorced,Retired,10,BMW X5,341082,MK9 1AN,No,Collision,5142
61,Female,Divorced,Driver,12,Ford F-150,363807,OL4 1ES,No,Liability-only,5503
25,Female,Divorced,Teacher,14,Toyota Corolla,346523,DN1 1QR,No,Liability-only,2217
64,Female,Divorced,Lawyer,16,Hyundai Elantra,623818,M1 1AA,No,Comprehensive,3474
52,Male,Married,Small Business Owner,18,Toyota Camry,431039,M1 1AA,No,Comprehensive,1929
31,Male,Single,Retired,12,Audi Q5,385892,CW1 2BB,No,Collision,8958
34,Female,Widowed,Driver,18,Toyota Corolla,392718,CW1 2BB,Yes,Comprehensive,9508
53,Female,Divorced,IT Professional,7,Nissan Altima,697374,CV1 2WT,Yes,Liability-only,2502
57,Male,Single,Sales Associate,7,Toyota Camry,235637,SW1A 1AA,No,Comprehensive,1420
21,Male,Single,Teacher,9,Honda Accord,625243,SW1A 1AA,No,Liability-only,6830
19,Female,Married,IT Professional,1,Buick Encore,519478,E1 6AN,No,Comprehensive,5358
23,Female,Single,Student,6,Honda Accord,245028,BS2 8JD,Yes,Comprehensive,2449
59,Female,Married,Student,6,Tesla Model S,412399,DN1 1QR,No,Liability-only,6811
21,Female,Divorced,Driver,12,Audi Q5,665152,MK9 1AN,Yes,Collision,9619
46,Male,Divorced,Student,12,Nissan Altima,357627,DN1 1QR,Yes,Collision,8871
35,Male,Widowed,Teacher,10,Nissan Altima,689775,E1 6AN,No,Comprehensive,9588
43,Male,Widowed,Retired,6,Buick Encore,650549,MK9 1AN,Yes,Comprehensive,9987
61,Female,Widowed,Nurse,17,Hyundai Elantra,693634,BD1 3EB,No,Liability-only,1106
51,Female,Single,Engineer,19,Buick Encore,420888,CV1 2WT,Yes,Liability-only,5049
27,Male,Divorced,Lawyer,18,Tesla Model S,567972,OL4 1ES,No,Comprehensive,9289
53,Male,Married,Retired,6,Honda Accord,211596,AL1 3NJ,No,Liability-only,2903
31,Male,Widowed,Nurse,19,Nissan Altima,531784,SW1A 1AA,Yes,Collision,8649
48,Male,Married,Small Business Owner,10,Honda Accord,327175,SE1 8DP,Yes,Collision,4570
32,Female,Married,Teacher,8,Toyota Camry,303048,DN1 1QR,Yes,Liability-only,6376
25,Male,Widowed,IT Professional,6,Audi Q5,543807,PE1 1HA,No,Liability-only,1042
31,Male,Divorced,Nurse,7,Ford F-150,156277,MK9 1AN,Yes,Liability-only,7385
40,Male,Widowed,Teacher,1,Tesla Model S,283332,DN1 1QR,Yes,Collision,2577
57,Male,Married,Sales Associate,18,Ford F-150,390515,SW1A 1AA,No,Comprehensive,7065
38,Male,Widowed,IT Professional,12,Tesla Model S,436885,M1 1AA,No,Liability-only,6885
33,Male,Married,Student,16,BMW X5,531864,E1 6AN,Yes,Liability-only,9576
62,Male,Married,Student,10,Audi Q5,449355,BS2 8JD,Yes,Liability-only,4577
35,Female,Widowed,IT Professional,10,Toyota Camry,584758,AL1 3NJ,Yes,Comprehensive,4238
64,Female,Single,Small Business Owner,14,Audi Q5,419013,AL1 3NJ,No,Liability-only,6244
41,Female,Widowed,Small Business Owner,10,Hyundai Elantra,636834,M1 1AA,No,Liability-only,3134
43,Female,Single,Small Business Owner,10,Tesla Model S,499760,PE1 1HA,Yes,Collision,4892
42,Male,Married,Nurse,11,Ford F-150,244515,CW1 2BB,No,Liability-only,5321
62,Female,Married,Lawyer,2,Tesla Model S,300494,SW1A 1AA,Yes,Collision,6776
58,Female,Single,Nurse,8,Hyundai Elantra,338088,MK9 1AN,Yes,Comprehensive,6828
46,Male,Married,Driver,7,Tesla Model S,369601,AL1 3NJ,No,Liability-only,4815
32,Male,Single,Engineer,8,Audi Q5,446177,BD1 3EB,Yes,Liability-only,1295
